Designators,Quantity,Manufacturer,MPN,Description,Required Qty,Notes
"C1, C2, C33, C34, C35, C39, C43, C44",8,,GCM188R72A103KA37J,Ceramic Capacitor for Automotive 10nF ±10% 100VDC X7R 0603 Paper T/R,40,missing manufacturer
"C1, C3, C4, C28, C29, C36, C38, C40, C41",10,,C1608X7R1H104K080AA,Multilayer Ceramic Capacitors 100nF ±10% 50V X7R SMD 0603,50,qty mismatch: declared 10 vs 9 designators; missing manufacturer
"C5, C6, C7, C8, C9, C10, C11, C12, C13, C14",10,,12103D226KAT2A,22uF 25V 1210 RoHS Multilayer Ceramic Capacitors MLCC - SMD/SMT,50,missing manufacturer
"C15, C16, C17, C18",4,,C2220C476M3R2CAUTO,"Stacked Multilayer Ceramic Capacitor, 47 uF, 25 V, ± 20%, X7R, 2220 [5650 Metric], 5 mm Stack Height",20,missing manufacturer
"C19, C20",2,,GRM188R6YA106MA73J,"Cap, 10Uf, 35V, Mlcc, 0603 Rohs Compliant: Yes",10,missing manufacturer
"C21, C23",2,,C1206C104KARACTU,CAP CER 0.1UF 250V X7R 1206,10,missing manufacturer
C22,1,,C0603C100K5HACAUTO,C0603 10 pF X8R 30ppm/°C 10.00% 50 V,5,missing manufacturer
"C24, C26",2,,06035C102KAT2A,"General Purpose Ceramic Capacitor, 0603, 1nF, 10%, X7R, 15%, 50V",10,missing manufacturer
C25,1,,C0603C101F3GACTU,CAP CER 100PF 25V NP0 0603,5,missing manufacturer
C27,1,,C0402C102K5RACTU,"Ceramic Capacitor, Ceramic, 50V, 10% +Tol, 10% -Tol, X7R, 15% TC, 0.001uF, Surface Mount, 0402",5,missing manufacturer
C30,1,,C1608X5R1E475K080AC,Multilayer Ceramic Capacitors 4.7µF ±10% 25V X5R SMD 0603,5,missing manufacturer
C32,1,,C0603C472J5RACTU,C0603C 4.7nF Ceramic Multilayer Capacitor; 50 VDC; +125degC; X7R Dielec; +/-5%,5,missing manufacturer
C37,1,,06035C105KAT2A,Capacitor,5,missing manufacturer
C42,1,,C0805C333K2RECAUTO,C0805C333K2RECAUTO ESD SMD Auto X7R 0805 (2012Metric) Ceramic Capacitor 0.079Lx0.049W 2.00mmx1.25mm X7R ±10% 0.033muF,5,missing manufacturer
"C45, C47, C50, C53, C55, C75, C78, C80, C82, C84, C85, C89, C91",13,,C1608X7R1H104K080AA,"Ceramic Capacitor, Multilayer, Ceramic, 50V, 10% -Tol, X7R, 15% Tc, 0.1Uf, Surface Mount, 0603",65,missing manufacturer
"C46, C61, C72, C76, C79, C81, C83, C86, C87, C90",10,,C2012X7R2E103K125AA,C Series 0805 10 nF 250 V ±10 % Tolerance X7R SMT Multilayer Ceramic Capacitor,50,missing manufacturer
C48,1,,EEE-TG1H470UP,Cap Aluminum 47uF 50V 20% (8 X 10.2mm) SMD 0.75 Ohm 133mA 2000h 125 C T/R,5,missing manufacturer
C49,1,,CL32B475KCVZW6E,"Ceramic Capacitor, Multilayer, Ceramic, 100V, 10% +Tol, 10% -Tol, X7R, 15% TC, 4.7uF, Surface Mount, 1210",5,missing manufacturer
C51,1,,CC0603JRNPO0BN151,"150 pF ±5% 100V Ceramic Capacitor C0G, NP0 0603 (1608 Metric)",5,missing manufacturer
C52,1,,12103D226KAT2A,25V 22uF X5R ±10% 1210 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,5,missing manufacturer
C54,1,,GRM188R71A225KE15D,10V 2.2uF X7R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,5,missing manufacturer
C56,1,,C0603C682K5RACTU,"6800 pF ±1% 50V Ceramic Capacitor C0G, NP0 0603 (1608 Metric)",5,missing manufacturer
C58,1,,06031A101KAT2A,"General Purpose Ceramic Capacitor, 0603, 100pF, 10%, NP0, 30ppm/°C, 100V",5,missing manufacturer
"C59, C73",2,,EVA86QR7TF471KD01K,Multilayer Ceramic Capacitors MLCC - SMD/SMT 8x6mm 1500VDC 470pF 10% X7R AEC-Q200,10,missing manufacturer
C60,1,,EDH476M200A9TAA,CAP ALUM 47UF 20% 200V SMD,5,missing manufacturer
"C62, C63, C64, C65, C66, C67, C68, C69, C70, C71",10,,2220VC225KAT2A,"Ceramic Capacitor, Multilayer, Ceramic, 250V, 10% +Tol, 10% -Tol, X7R, 15% TC, 2.2uF, Surface Mount, 2220",50,missing manufacturer
"C74, C77, C88",3,,CGA4J1X7R1V475K125AC,Cap Ceramic 4.7uF 35V X7R 10% Pad SMD 0805 +125°C Automotive T/R,15,missing manufacturer
"D1, D2, D3, D4, D5, D6, D8",7,,VLMS1300-GS08,LED RED 0603 SMD,35,missing manufacturer
D7,1,,SZP6SMB15CAT3G,TVS Diode (Bi-directional),5,missing manufacturer
D9,1,,SMCJ130CA,7.2A 209V 1.5kW 144V Bidirectional 130V DO-214AB(SMC) ESD and Surge Protection (TVS/ESD) ROHS,5,missing manufacturer
D10,1,,SMBJ3V3-E3/5B,"Trans Voltage Suppressor Diode, 600W, 3.3V V(RWM), Unidirectional, 1 Element, Silicon, DO-214AA",5,missing manufacturer
HS1,1,,960-19-18-F-AB-0,Heatsink 19mm x 19mm,5,missing manufacturer
J1,1,,216571-1023,"Rectangular Power Connector, 3 Contact(s), Male, Solder Terminal",5,missing manufacturer
