source_file,source_row,designators,qty_per_board,build_quantity,required_qty,manufacturer,mpn,description,supplier,supplier_part_number,unit_price,subtotal,lifecycle_status,build_multiplier,status,notes,selected_supplier,supplier_order_qty,mouser_stock,digikey_stock,sourcing_status,sourcing_notes
DCD-BEC-150-12-150-3-x4.csv,2,"C1, C2, C33, C34, C35, C39, C43, C44",8,5,40,,GCM188R72A103KA37J,Ceramic Capacitor for Automotive 10nF ±10% 100VDC X7R 0603 Paper T/R,,81-GCM188R72A103KA7J,$0.10,,,,missing_manufacturer,missing manufacturer,Mouser,40,63314,0,sourced_mouser,Mouser can cover full required quantity.
DCD-BEC-150-12-150-3-x4.csv,3,"C1, C3, C4, C28, C29, C36, C38, C40, C41",10,5,50,,C1608X7R1H104K080AA,Multilayer Ceramic Capacitors 100nF ±10% 50V X7R SMD 0603,,810-C1608X7R1H104K,$0.10,,,,qty_mismatch,qty mismatch: declared 10 vs 9 designators; missing manufacturer,Mouser,50,1498714,0,sourced_mouser,Mouser can cover full required quantity.
DCD-BEC-150-12-150-3-x4.csv,4,"C5, C6, C7, C8, C9, C10, C11, C12, C13, C14",10,5,50,,12103D226KAT2A,22uF 25V 1210 RoHS Multilayer Ceramic Capacitors MLCC - SMD/SMT,,581-12103D226KAT2A,$1.58,,,,missing_manufacturer,missing manufacturer,Mouser,50,4796,0,sourced_mouser,Mouser can cover full required quantity.
DCD-BEC-150-12-150-3-x4.csv,5,"C15, C16, C17, C18",4,5,20,,C2220C476M3R2CAUTO,"Stacked Multilayer Ceramic Capacitor, 47 uF, 25 V, ± 20%, X7R, 2220 [5650 Metric], 5 mm Stack Height",,80-C2220C476M3R2AUTO,$6.48,,,,missing_manufacturer,missing manufacturer,Mouser,20,900,0,sourced_mouser,Mouser can cover full required quantity.
DCD-BEC-150-12-150-3-x4.csv,6,"C19, C20",2,5,10,,GRM188R6YA106MA73J,"Cap, 10Uf, 35V, Mlcc, 0603 Rohs Compliant: Yes",,81-GRM188R6YA106MA3J,$0.25,,,,missing_manufacturer,missing manufacturer,Mouser,10,259581,0,sourced_mouser,Mouser can cover full required quantity.
DCD-BEC-150-12-150-3-x4.csv,7,"C21, C23",2,5,10,,C1206C104KARACTU,CAP CER 0.1UF 250V X7R 1206,,80-C1206C104KAR,$0.36,,,,missing_manufacturer,missing manufacturer,Mouser,10,25740,0,sourced_mouser,Mouser can cover full required quantity.
DCD-BEC-150-12-150-3-x4.csv,8,C22,1,5,5,,C0603C100K5HACAUTO,C0603 10 pF X8R 30ppm/°C 10.00% 50 V,,80-C0603C100K5HAUTO,$0.10,,,,missing_manufacturer,missing manufacturer,Mouser,5,17254,0,sourced_mouser,Mouser can cover full required quantity.
DCD-BEC-150-12-150-3-x4.csv,9,"C24, C26",2,5,10,,06035C102KAT2A,"General Purpose Ceramic Capacitor, 0603, 1nF, 10%, X7R, 15%, 50V",,581-06035C102K,$0.16,,,,missing_manufacturer,missing manufacturer,Mouser,10,343693,0,sourced_mouser,Mouser can cover full required quantity.
DCD-BEC-150-12-150-3-x4.csv,10,C25,1,5,5,,C0603C101F3GACTU,CAP CER 100PF 25V NP0 0603,,80-C0603C101F3G,$0.73,,,,missing_manufacturer,missing manufacturer,Mouser,5,6334,0,sourced_mouser,Mouser can cover full required quantity.
DCD-BEC-150-12-150-3-x4.csv,11,C27,1,5,5,,C0402C102K5RACTU,"Ceramic Capacitor, Ceramic, 50V, 10% +Tol, 10% -Tol, X7R, 15% TC, 0.001uF, Surface Mount, 0402",,80-C0402C102K5R,$0.12,,,,missing_manufacturer,missing manufacturer,Mouser,5,12,0,sourced_mouser,Mouser can cover full required quantity.
DCD-BEC-150-12-150-3-x4.csv,12,C30,1,5,5,,C1608X5R1E475K080AC,Multilayer Ceramic Capacitors 4.7µF ±10% 25V X5R SMD 0603,,810-C1608X5R1E475K,$0.24,,,,missing_manufacturer,missing manufacturer,Mouser,5,146959,0,sourced_mouser,Mouser can cover full required quantity.
DCD-BEC-150-12-150-3-x4.csv,13,C32,1,5,5,,C0603C472J5RACTU,C0603C 4.7nF Ceramic Multilayer Capacitor; 50 VDC; +125degC; X7R Dielec; +/-5%,,80-C0603C472J5R,$0.10,,,,missing_manufacturer,missing manufacturer,Mouser,5,79876,0,sourced_mouser,Mouser can cover full required quantity.
DCD-BEC-150-12-150-3-x4.csv,14,C37,1,5,5,,06035C105KAT2A,Capacitor,,581-06035C105KAT2A,$0.46,,,,missing_manufacturer,missing manufacturer,Mouser,5,531310,0,sourced_mouser,Mouser can cover full required quantity.
DCD-BEC-150-12-150-3-x4.csv,15,C42,1,5,5,,C0805C333K2RECAUTO,C0805C333K2RECAUTO ESD SMD Auto X7R 0805 (2012Metric) Ceramic Capacitor 0.079Lx0.049W 2.00mmx1.25mm X7R ±10% 0.033muF,,80-C0805C333K2RECAUT,$0.25,,,,missing_manufacturer,missing manufacturer,Mouser,5,5784,0,sourced_mouser,Mouser can cover full required quantity.
DCD-BEC-150-12-150-3-x4.csv,16,"C45, C47, C50, C53, C55, C75, C78, C80, C82, C84, C85, C89, C91",13,5,65,,C1608X7R1H104K080AA,"Ceramic Capacitor, Multilayer, Ceramic, 50V, 10% -Tol, X7R, 15% Tc, 0.1Uf, Surface Mount, 0603",,810-C1608X7R1H104K,$0.10,,,,missing_manufacturer,missing manufacturer,Mouser,65,1498714,0,sourced_mouser,Mouser can cover full required quantity.
DCD-BEC-150-12-150-3-x4.csv,17,"C46, C61, C72, C76, C79, C81, C83, C86, C87, C90",10,5,50,,C2012X7R2E103K125AA,C Series 0805 10 nF 250 V ±10 % Tolerance X7R SMT Multilayer Ceramic Capacitor,,810-C2012X7R2E103K,$0.13,,,,missing_manufacturer,missing manufacturer,Mouser,50,34980,0,sourced_mouser,Mouser can cover full required quantity.
