manufacturer,mpn,required_qty,selected_supplier,supplier_part_number,supplier_order_qty,unit_price,mouser_stock,digikey_stock,sourcing_status,sourcing_notes
,GCM188R72A103KA37J,40,Mouser,81-GCM188R72A103KA7J,40,$0.10,63314,0,sourced_mouser,Mouser can cover full required quantity.
,C1608X7R1H104K080AA,50,Mouser,810-C1608X7R1H104K,50,$0.10,1498714,0,sourced_mouser,Mouser can cover full required quantity.
,12103D226KAT2A,50,Mouser,581-12103D226KAT2A,50,$1.58,4796,0,sourced_mouser,Mouser can cover full required quantity.
,C2220C476M3R2CAUTO,20,Mouser,80-C2220C476M3R2AUTO,20,$6.48,900,0,sourced_mouser,Mouser can cover full required quantity.
,GRM188R6YA106MA73J,10,Mouser,81-GRM188R6YA106MA3J,10,$0.25,259581,0,sourced_mouser,Mouser can cover full required quantity.
,C1206C104KARACTU,10,Mouser,80-C1206C104KAR,10,$0.36,25740,0,sourced_mouser,Mouser can cover full required quantity.
,C0603C100K5HACAUTO,5,Mouser,80-C0603C100K5HAUTO,5,$0.10,17254,0,sourced_mouser,Mouser can cover full required quantity.
,06035C102KAT2A,10,Mouser,581-06035C102K,10,$0.16,343693,0,sourced_mouser,Mouser can cover full required quantity.
,C0603C101F3GACTU,5,Mouser,80-C0603C101F3G,5,$0.73,6334,0,sourced_mouser,Mouser can cover full required quantity.
,C0402C102K5RACTU,5,Mouser,80-C0402C102K5R,5,$0.12,12,0,sourced_mouser,Mouser can cover full required quantity.
,C1608X5R1E475K080AC,5,Mouser,810-C1608X5R1E475K,5,$0.24,146959,0,sourced_mouser,Mouser can cover full required quantity.
,C0603C472J5RACTU,5,Mouser,80-C0603C472J5R,5,$0.10,79876,0,sourced_mouser,Mouser can cover full required quantity.
,06035C105KAT2A,5,Mouser,581-06035C105KAT2A,5,$0.46,531310,0,sourced_mouser,Mouser can cover full required quantity.
,C0805C333K2RECAUTO,5,Mouser,80-C0805C333K2RECAUT,5,$0.25,5784,0,sourced_mouser,Mouser can cover full required quantity.
,C1608X7R1H104K080AA,65,Mouser,810-C1608X7R1H104K,65,$0.10,1498714,0,sourced_mouser,Mouser can cover full required quantity.
,C2012X7R2E103K125AA,50,Mouser,810-C2012X7R2E103K,50,$0.13,34980,0,sourced_mouser,Mouser can cover full required quantity.
,EEE-TG1H470UP,5,Mouser,667-EEE-TG1H470UP,5,$1.15,2840,0,sourced_mouser,Mouser can cover full required quantity.
,CL32B475KCVZW6E,5,Mouser,187-CL32B475KCVZW6E,5,$0.98,34223,0,sourced_mouser,Mouser can cover full required quantity.
,CC0603JRNPO0BN151,5,Mouser,603-CC603JRNPO0BN151,5,$0.11,945,0,sourced_mouser,Mouser can cover full required quantity.
,12103D226KAT2A,5,Mouser,581-12103D226KAT2A,5,$1.58,4796,0,sourced_mouser,Mouser can cover full required quantity.
,GRM188R71A225KE15D,5,Mouser,81-GRM188R71A225KE15,5,$0.15,197454,0,sourced_mouser,Mouser can cover full required quantity.
,C0603C682K5RACTU,5,Mouser,80-C0603C682K5R,5,$0.10,133478,0,sourced_mouser,Mouser can cover full required quantity.
,06031A101KAT2A,5,Mouser,581-06031A101K,5,$0.10,27901,0,sourced_mouser,Mouser can cover full required quantity.
,EVA86QR7TF471KD01K,10,Mouser,81-EVA86QR7TF471KD1K,10,$4.83,830,0,sourced_mouser,Mouser can cover full required quantity.
,EDH476M200A9TAA,5,Mouser,80-EDH476M200A9TAA,5,$2.85,2300,0,sourced_mouser,Mouser can cover full required quantity.
,2220VC225KAT2A,50,Mouser,581-2220VC225KAT2A,50,$2.31,6241,0,sourced_mouser,Mouser can cover full required quantity.
,CGA4J1X7R1V475K125AC,15,Mouser,810-CGA4J1X7R1V475KC,15,$0.49,151488,0,sourced_mouser,Mouser can cover full required quantity.
,VLMS1300-GS08,35,Mouser,78-VLMS1300-GS08,35,$0.23,11850,0,sourced_mouser,Mouser can cover full required quantity.
,SZP6SMB15CAT3G,5,Mouser,863-SZP6SMB15CAT3G,5,$0.36,10031,0,sourced_mouser,Mouser can cover full required quantity.
,SMCJ130CA,5,Mouser,821-SMCJ130CA,5,$0.27,2450,0,sourced_mouser,Mouser can cover full required quantity.
,SMBJ3V3-E3/5B,5,Mouser,625-SMBJ3V3-E3/5B,5,$0.43,103605,0,sourced_mouser,Mouser can cover full required quantity.
,960-19-18-F-AB-0,5,,,,,0,0,check_wall_inventory,Neither Mouser nor DigiKey can cover full required quantity.
,216571-1023,5,Mouser,538-216571-1023,5,$1.33,3110,0,sourced_mouser,Mouser can cover full required quantity.
,216571-1003,5,Mouser,538-216571-1003,5,$2.38,1517,0,sourced_mouser,Mouser can cover full required quantity.
,73251-1350,5,Mouser,538-73251-1350,5,$4.72,12586,0,sourced_mouser,Mouser can cover full required quantity.
,5102,10,Mouser,5164-5102,10,$0.36,4543,0,sourced_mouser,Mouser can cover full required quantity.
,MA5173-AE,10,Mouser,994-MA5173-AE,10,$6.89,2005,0,sourced_mouser,Mouser can cover full required quantity.
,XGL5050-153MEC,5,DigiKey,,5,4.32,0,16571,sourced_digikey,Mouser could not cover full quantity; DigiKey can.
,CG3885-ALD,5,Mouser,994-CG3885-ALD,5,$6.94,208,0,sourced_mouser,Mouser can cover full required quantity.
,BSC520N15NS3GATMA1,15,DigiKey,,15,0.4605,0,14812,sourced_digikey,Mouser could not cover full quantity; DigiKey can.
,ERJ-3EKF2200V,10,Mouser,667-ERJ-3EKF2200V,10,$0.10,17155,0,sourced_mouser,Mouser can cover full required quantity.
,ERJ-3EKF1000V,5,Mouser,667-ERJ-3EKF1000V,5,$0.10,454219,0,sourced_mouser,Mouser can cover full required quantity.
,ERJ-3EKF4021V,5,Mouser,667-ERJ-3EKF4021V,5,$0.10,21671,0,sourced_mouser,Mouser can cover full required quantity.
,PRL1632-R006-F-T1,10,Mouser,754-PRL1632-R006-FT1,10,$0.79,5259,0,sourced_mouser,Mouser can cover full required quantity.
,CR0603-J/-000ELF,35,Mouser,652-CR0603-J/-000ELF,35,$0.10,330359,0,sourced_mouser,Mouser can cover full required quantity.
,RK73H1JTTD49R9F,5,Mouser,660-RK73H1JTTD49R9F,5,$0.10,46687,0,sourced_mouser,Mouser can cover full required quantity.
,CR0603-J/-000ELF,90,Mouser,652-CR0603-J/-000ELF,90,$0.10,330359,0,sourced_mouser,Mouser can cover full required quantity.
,ERJ3EKF1003V,30,,,,0.0038,0,0,check_wall_inventory,Neither Mouser nor DigiKey can cover full required quantity.; DigiKey lookup failed: 404 Client Error: Not Found for url: https://api.digikey.com/products/v4/search/ERJ3EKF1003V/productdetails
,ERJ-3EKF7151V,15,Mouser,667-ERJ-3EKF7151V,15,$0.10,24635,0,sourced_mouser,Mouser can cover full required quantity.
,ERJ-3EKF4220V,5,Mouser,667-ERJ-3EKF4220V,5,$0.10,55704,0,sourced_mouser,Mouser can cover full required quantity.
,ERJ-3EKF7870V,10,Mouser,667-ERJ-3EKF7870V,10,$0.10,56784,0,sourced_mouser,Mouser can cover full required quantity.
,AT0603FRE0730K1L,10,Mouser,603-AT0603FRE0730K1L,10,$0.10,14038,0,sourced_mouser,Mouser can cover full required quantity.
,CRGP0603F10K,5,Mouser,279-CRGP0603F10K,5,$0.17,117019,0,sourced_mouser,Mouser can cover full required quantity.
,RC1210FR-072R2L,5,Mouser,603-RC1210FR-072R2L,5,$0.12,7715,0,sourced_mouser,Mouser can cover full required quantity.
,CRCW060380K6FKEA,5,Mouser,71-CRCW0603-80.6K-E3,5,$0.10,59858,0,sourced_mouser,Mouser can cover full required quantity.
,CRCW060310M0JNEA,5,Mouser,71-CRCW0603J-10M-E3,5,$0.10,7361,0,sourced_mouser,Mouser can cover full required quantity.
,CRCW06032R20JNEA,5,Mouser,71-CRCW0603J-2.2-E3,5,$0.10,9718,0,sourced_mouser,Mouser can cover full required quantity.
,CRCW060349K9FKEA,5,Mouser,71-CRCW0603-49.9K-E3,5,$0.10,168837,0,sourced_mouser,Mouser can cover full required quantity.
,CRGP0603F10K,80,Mouser,279-CRGP0603F10K,80,$0.17,117019,0,sourced_mouser,Mouser can cover full required quantity.
,ERJU03F2003V,5,,,,,0,0,check_wall_inventory,Neither Mouser nor DigiKey can cover full required quantity.; DigiKey lookup failed: 404 Client Error: Not Found for url: https://api.digikey.com/products/v4/search/ERJU03F2003V/productdetails
,ERJ-UP3F2742V,5,Mouser,667-ERJ-UP3F2742V,5,$0.21,14526,0,sourced_mouser,Mouser can cover full required quantity.
,ERJ-3EKF47R0V,5,Mouser,667-ERJ-3EKF47R0V,5,$0.10,11330,0,sourced_mouser,Mouser can cover full required quantity.
,ERJ-3GEYJ153V,25,Mouser,667-ERJ-3GEYJ153V,25,$0.10,71807,0,sourced_mouser,Mouser can cover full required quantity.
,CRGCQ1206J100R,10,Mouser,279-CRGCQ1206J100R,10,$0.10,16961,0,sourced_mouser,Mouser can cover full required quantity.
,RC0603JR-071KL,5,Mouser,603-RC0603JR-071KL,5,$0.12,957696,0,sourced_mouser,Mouser can cover full required quantity.
,HRG3216P-1000-B-T1,10,Mouser,754-HRG3216P1000BT1,10,$0.87,16951,0,sourced_mouser,Mouser can cover full required quantity.
,ERA-3AEB363V,5,Mouser,667-ERA-3AEB363V,5,$0.10,102305,0,sourced_mouser,Mouser can cover full required quantity.
,5000,10,Mouser,534-5000,10,$0.32,372663,0,sourced_mouser,Mouser can cover full required quantity.
,5001,10,,,,0.21,0,0,check_wall_inventory,Neither Mouser nor DigiKey can cover full required quantity.; DigiKey lookup failed: 404 Client Error: Not Found for url: https://api.digikey.com/products/v4/search/5001/productdetails
,TPS1HB08BQPWPRQ1,5,Mouser,595-TPS1HB08BQPWPRQ1,5,$2.92,5027,0,sourced_mouser,Mouser can cover full required quantity.
,ADPL13602BATE+,5,Mouser,700-ADPL13602BATE+,5,$2.12,4080,0,sourced_mouser,Mouser can cover full required quantity.
,INA228AQDGSRQ1,10,Mouser,595-INA228AQDGSRQ1,10,$5.27,8969,0,sourced_mouser,Mouser can cover full required quantity.
,LTC3895EFE#PBF,5,Mouser,584-LTC3895EFE#PBF,5,$14.13,530,0,sourced_mouser,Mouser can cover full required quantity.
,ISO1540QDRQ1,5,Mouser,595-ISO1540QDRQ1,5,$5.15,2325,0,sourced_mouser,Mouser can cover full required quantity.
,ISO7721FDR,5,Mouser,595-ISO7721FDR,5,$2.11,1953,0,sourced_mouser,Mouser can cover full required quantity.
,NXJ2S0505MC-R7,5,Mouser,580-NXJ2S0505MC-R7,5,$6.26,216,0,sourced_mouser,Mouser can cover full required quantity.
,TQL850CSV33 RLG,5,Mouser,821-TQL850CSV33RLG,5,$1.58,2307,0,sourced_mouser,Mouser can cover full required quantity.
,RL3720WT-R005-F,5,Mouser,754-RL3720WT-R005-F,5,$0.95,9544,0,sourced_mouser,Mouser can cover full required quantity.
