source_file,source_row,designators,qty_per_board,build_quantity,overage_pct,required_qty,manufacturer,mpn,description,supplier,supplier_part_number,unit_price,subtotal,lifecycle_status,build_multiplier,status,notes,matched_manufacturer,matched_mpn,matched_supplier,matched_inventory,matched_price_qty,matched_unit_price,matched_currency,supplier_match_status,supplier_match_notes
DCD-xVB-90-012-250-4-x0_BOM_Variant 1.csv,2,C47,1,5,20.0,6,Kyocera AVX,08051C105K4T2A,"1 uF, 100 V, ± 10%, X7R, 0805 [2012 Metric], Multilayer Ceramic Capacitor",Mouser,581-08051C105K4T2A,0.158,15.8,Unknown,,clean,,,,,,,,,error,"Nexar lookup failed: Nexar GraphQL error: [{'message': 'You have exceeded your part limit of 0. Please upgrade your plan. Contact us at api@nexar.com for assistance.', 'extensions': {'remote': {'message': 'You have exceeded your part limit of 0. Please upgrade your plan. Contact us at api@nexar.com for assistance.'}, 'schemaName': 'Supply'}}]"
DCD-xVB-90-012-250-4-x0_BOM_Variant 1.csv,3,C50,1,5,20.0,6,Murata,GCJ188R72A104KA01D,"0.1 uF, 100 V, ± 10%, X7R, 0603 [1608 Metric], Multilayer Ceramic Capacitor",Newark,92AH8161,0.047,4.7,Unknown,,clean,,,,,,,,,error,"Nexar lookup failed: Nexar GraphQL error: [{'message': 'You have exceeded your part limit of 0. Please upgrade your plan. Contact us at api@nexar.com for assistance.', 'extensions': {'remote': {'message': 'You have exceeded your part limit of 0. Please upgrade your plan. Contact us at api@nexar.com for assistance.'}, 'schemaName': 'Supply'}}]"
DCD-xVB-90-012-250-4-x0_BOM_Variant 1.csv,4,"C65, C66, C67, C68",4,5,20.0,24,Kyocera AVX,08051C103K4T4A,"10nF, 100 V, ± 10%, X7R, 0805 [2012 Metric], Multilayer Ceramic Capacitor",Newark,77AH4977,0.038,15.2,Unknown,,clean,,,,,,,,,error,"Nexar lookup failed: Nexar GraphQL error: [{'message': 'You have exceeded your part limit of 0. Please upgrade your plan. Contact us at api@nexar.com for assistance.', 'extensions': {'remote': {'message': 'You have exceeded your part limit of 0. Please upgrade your plan. Contact us at api@nexar.com for assistance.'}, 'schemaName': 'Supply'}}]"
DCD-xVB-90-012-250-4-x0_BOM_Variant 1.csv,5,"C33, C48, C49, C51, C52",5,5,20.0,30,TDK,C1608X7R1H104K080AA,Multilayer Ceramic Capacitors 100nF ±10% 50V X7R SMD 0603,Newark,67T1082,0.022,11,Unknown,,clean,,,,,,,,,error,"Nexar lookup failed: Nexar GraphQL error: [{'message': 'You have exceeded your part limit of 0. Please upgrade your plan. Contact us at api@nexar.com for assistance.', 'extensions': {'remote': {'message': 'You have exceeded your part limit of 0. Please upgrade your plan. Contact us at api@nexar.com for assistance.'}, 'schemaName': 'Supply'}}]"
DCD-xVB-90-012-250-4-x0_BOM_Variant 1.csv,6,C40,1,5,20.0,6,Murata,GRM21B5C1H223JA01K,"Chip Multilayer Ceramic Capacitors for General Purpose, 0805, 22000pF, C0G, 30ppm/°C, 5%, 50V",Digikey,490-GRM21B5C1H223JA01KCT-ND,0.1122,11.22,Unknown,,clean,,,,,,,,,error,"Nexar lookup failed: Nexar GraphQL error: [{'message': 'You have exceeded your part limit of 0. Please upgrade your plan. Contact us at api@nexar.com for assistance.', 'extensions': {'remote': {'message': 'You have exceeded your part limit of 0. Please upgrade your plan. Contact us at api@nexar.com for assistance.'}, 'schemaName': 'Supply'}}]"
DCD-xVB-90-012-250-4-x0_BOM_Variant 1.csv,7,C14,1,5,20.0,6,TDK,C2012X7S2A105K125AB,Multilayer Ceramic Capacitors 1μF ±10% 100V X7S SMD 0805,Mouser,810-C2012X7S2A105K,0.159,15.9,Unknown,,clean,,,,,,,,,error,"Nexar lookup failed: Nexar GraphQL error: [{'message': 'You have exceeded your part limit of 0. Please upgrade your plan. Contact us at api@nexar.com for assistance.', 'extensions': {'remote': {'message': 'You have exceeded your part limit of 0. Please upgrade your plan. Contact us at api@nexar.com for assistance.'}, 'schemaName': 'Supply'}}]"
DCD-xVB-90-012-250-4-x0_BOM_Variant 1.csv,8,"C9, C20, C36, C38, C44, C54, C57",7,5,20.0,42,Murata,GCJ188R72A104KA01D,Cap Ceramic 0.1uF 100V X7R 10% Pad SMD 0603 Soft Termination +125°C Automotive T/R,"Digikey, Newark","490-13420-1-ND, 92AH8161","0.03973, 0.041","43.7, 45.1",Volume Production,,clean,,,,,,,,,error,"Nexar lookup failed: Nexar GraphQL error: [{'message': 'You have exceeded your part limit of 0. Please upgrade your plan. Contact us at api@nexar.com for assistance.', 'extensions': {'remote': {'message': 'You have exceeded your part limit of 0. Please upgrade your plan. Contact us at api@nexar.com for assistance.'}, 'schemaName': 'Supply'}}]"
DCD-xVB-90-012-250-4-x0_BOM_Variant 1.csv,9,C41,1,5,20.0,6,Wurth Electronics,885012207110,Multilayer Ceramic Capacitors MLCC - SMD/SMT WCAP-CSGP 100V 100pF 0805 10%,Digikey,732-12231-1-ND,0.0423,4.23,,,clean,,,,,,,,,error,"Nexar lookup failed: Nexar GraphQL error: [{'message': 'You have exceeded your part limit of 0. Please upgrade your plan. Contact us at api@nexar.com for assistance.', 'extensions': {'remote': {'message': 'You have exceeded your part limit of 0. Please upgrade your plan. Contact us at api@nexar.com for assistance.'}, 'schemaName': 'Supply'}}]"
DCD-xVB-90-012-250-4-x0_BOM_Variant 1.csv,10,"C23, C39, C45",3,5,20.0,18,Murata,GRM21BZ7YA475ME15L,"Chip Multilayer Ceramic Capacitors for General Purpose, 0805, 4.7uF, X7R, 15%, 20%, 35V",Digikey,490-GRM21BZ7YA475ME15LCT-ND,0.1016,71.12,Unknown,,clean,,,,,,,,,error,"Nexar lookup failed: Nexar GraphQL error: [{'message': 'You have exceeded your part limit of 0. Please upgrade your plan. Contact us at api@nexar.com for assistance.', 'extensions': {'remote': {'message': 'You have exceeded your part limit of 0. Please upgrade your plan. Contact us at api@nexar.com for assistance.'}, 'schemaName': 'Supply'}}]"
DCD-xVB-90-012-250-4-x0_BOM_Variant 1.csv,11,C53,1,5,20.0,6,Samsung,CL32B475KCVZW6E,"4.7uF, 100V, 10% +Tol, 10% -Tol, X7R, 15% TC, Surface Mount, 1210, Ceramic Capacitor",Digikey,1276-7060-6-ND,0.4161,41.61,Unknown,,clean,,,,,,,,,error,"Nexar lookup failed: Nexar GraphQL error: [{'message': 'You have exceeded your part limit of 0. Please upgrade your plan. Contact us at api@nexar.com for assistance.', 'extensions': {'remote': {'message': 'You have exceeded your part limit of 0. Please upgrade your plan. Contact us at api@nexar.com for assistance.'}, 'schemaName': 'Supply'}}]"
DCD-xVB-90-012-250-4-x0_BOM_Variant 1.csv,12,"C55, C56",2,5,20.0,12,TDK,C3225X7R1N106K250AC,"10 uF, 75 V, ± 10%, X7R, 1210 [3225 Metric], Multilayer Ceramic Capacitor",Newark,71AH3393,0.377,75.4,Unknown,,clean,,,,,,,,,error,"Nexar lookup failed: Nexar GraphQL error: [{'message': 'You have exceeded your part limit of 0. Please upgrade your plan. Contact us at api@nexar.com for assistance.', 'extensions': {'remote': {'message': 'You have exceeded your part limit of 0. Please upgrade your plan. Contact us at api@nexar.com for assistance.'}, 'schemaName': 'Supply'}}]"
DCD-xVB-90-012-250-4-x0_BOM_Variant 1.csv,13,"C37, C58",2,5,20.0,12,Murata,GCM188R72A103KA37J,Ceramic Capacitor for Automotive 10nF ±10% 100VDC X7R 0603 Paper T/R,Newark,66AJ7158,0.02,4,Volume Production,,clean,,,,,,,,,error,"Nexar lookup failed: Nexar GraphQL error: [{'message': 'You have exceeded your part limit of 0. Please upgrade your plan. Contact us at api@nexar.com for assistance.', 'extensions': {'remote': {'message': 'You have exceeded your part limit of 0. Please upgrade your plan. Contact us at api@nexar.com for assistance.'}, 'schemaName': 'Supply'}}]"
DCD-xVB-90-012-250-4-x0_BOM_Variant 1.csv,14,"D5, D10, D11, D12, D13, D14",6,5,20.0,36,Vishay Lite-On,LTST-C190GKT,LED GREEN CLEAR CHIP SMD,Digikey,160-1183-1-ND,0.05134,30.8,Volume Production,,clean,,,,,,,,,error,"Nexar lookup failed: Nexar GraphQL error: [{'message': 'You have exceeded your part limit of 0. Please upgrade your plan. Contact us at api@nexar.com for assistance.', 'extensions': {'remote': {'message': 'You have exceeded your part limit of 0. Please upgrade your plan. Contact us at api@nexar.com for assistance.'}, 'schemaName': 'Supply'}}]"
