Designators,Quantity,Manufacturer,MPN,Description,Required Qty,Notes
C47,1,Kyocera AVX,08051C105K4T2A,"1 uF, 100 V, ± 10%, X7R, 0805 [2012 Metric], Multilayer Ceramic Capacitor",1,
C50,1,Murata,GCJ188R72A104KA01D,"0.1 uF, 100 V, ± 10%, X7R, 0603 [1608 Metric], Multilayer Ceramic Capacitor",1,
"C65, C66, C67, C68",4,Kyocera AVX,08051C103K4T4A,"10nF, 100 V, ± 10%, X7R, 0805 [2012 Metric], Multilayer Ceramic Capacitor",4,
"C33, C48, C49, C51, C52",5,TDK,C1608X7R1H104K080AA,Multilayer Ceramic Capacitors 100nF ±10% 50V X7R SMD 0603,5,
C40,1,Murata,GRM21B5C1H223JA01K,"Chip Multilayer Ceramic Capacitors for General Purpose, 0805, 22000pF, C0G, 30ppm/°C, 5%, 50V",1,
C14,1,TDK,C2012X7S2A105K125AB,Multilayer Ceramic Capacitors 1μF ±10% 100V X7S SMD 0805,1,
"C9, C20, C36, C38, C44, C54, C57",7,Murata,GCJ188R72A104KA01D,Cap Ceramic 0.1uF 100V X7R 10% Pad SMD 0603 Soft Termination +125°C Automotive T/R,7,
C41,1,Wurth Electronics,885012207110,Multilayer Ceramic Capacitors MLCC - SMD/SMT WCAP-CSGP 100V 100pF 0805 10%,1,
"C23, C39, C45",3,Murata,GRM21BZ7YA475ME15L,"Chip Multilayer Ceramic Capacitors for General Purpose, 0805, 4.7uF, X7R, 15%, 20%, 35V",3,
C53,1,Samsung,CL32B475KCVZW6E,"4.7uF, 100V, 10% +Tol, 10% -Tol, X7R, 15% TC, Surface Mount, 1210, Ceramic Capacitor",1,
"C55, C56",2,TDK,C3225X7R1N106K250AC,"10 uF, 75 V, ± 10%, X7R, 1210 [3225 Metric], Multilayer Ceramic Capacitor",2,
"C37, C58",2,Murata,GCM188R72A103KA37J,Ceramic Capacitor for Automotive 10nF ±10% 100VDC X7R 0603 Paper T/R,2,
"D5, D10, D11, D12, D13, D14",6,Vishay Lite-On,LTST-C190GKT,LED GREEN CLEAR CHIP SMD,6,
"D4, D6, D7, D8, D9",5,Vishay Lite-On,LTST-C190EKT,LED RED CLEAR CHIP SMD,5,
